DOORNUMBER,CARLENGTH,CARWIDTH,CARHEIGHT,CYLINDERNUMBER,ENGINESIZE,COMPRESSINRATIO,HORSEPOWER,PRICE
4,171.7,65.5,55.7,4,109,9,85,8195
4,171.7,65.5,55.7,4,109,9,85,8495
4,171.7,65.5,55.7,4,97,23,68,9495
4,171.7,65.5,55.7,4,109,10,100,9995
2,159.3,64.2,55.6,4,109,8.5,90,11595
2,165.7,64,51.4,4,109,8.5,90,9980
4,180.2,66.9,55.1,5,136,8.5,110,13295
4,180.2,66.9,55.1,4,97,23,68,13845
2,176.2,65.6,52,4,146,9.3,116,11199
2,176.2,65.6,52,4,146,9.3,116,11549
2,176.2,65.6,53,4,146,9.3,116,17669
4,175.6,66.5,54.9,4,122,8.7,92,8948
4,175.6,66.5,54.9,4,110,22.5,73,10698
4,175.6,66.5,53.9,4,122,8.7,92,9988
4,175.6,66.5,54.9,4,122,8.7,92,10898
4,175.6,66.5,53.9,4,122,8.7,92,11248
2,183.5,67.7,52,6,171,9.3,161,16558
2,183.5,67.7,52,6,171,9.3,161,15998
4,158.8,63.6,52,4,90,9.6,70,6575
2,157.3,63.8,50.8,4,90,9.41,68,5572
2,157.3,63.8,50.8,4,90,9.4,68,6377
2,157.3,63.8,50.8,4,98,7.6,102,7957
4,157.3,63.8,50.6,4,90,9.4,68,6229
4,157.3,63.8,50.6,4,90,9.4,68,6692
4,157.3,63.8,50.6,4,90,9.4,68,7609
2,157.3,63.8,50.6,4,98,7.6,102,8558
4,174.6,64.6,59.8,4,122,8.5,88,8921
2,173.2,66.3,50.2,4,156,7,145,12964
2,144.6,63.9,50.8,4,92,9.6,58,6479
2,144.6,63.9,50.8,4,92,9.2,76,6855
2,150,64,52.6,4,79,10.1,60,5399
2,150,64,52.6,4,92,9.2,76,6529
2,150,64,52.6,4,92,9.2,76,7129
4,163.4,64,54.5,4,92,9.2,76,7295
4,157.1,63.9,58.3,4,92,9.2,76,7295
2,167.5,65.2,53.3,4,110,9,86,7895
2,167.5,65.2,53.3,4,110,9,86,9095
4,175.4,65.2,54.1,4,110,9,86,8845
2,159.1,64.2,54.1,4,91,9,68,5195
2,159.1,64.2,54.1,4,91,9,68,6095
2,159.1,64.2,54.1,4,91,9,68,6795
4,166.8,64.2,54.1,4,91,9,68,6695
4,166.8,64.2,54.1,4,91,9,68,7395
2,169,65.7,49.6,2,70,9.4,101,10945
2,169,65.7,49.6,2,70,9.4,101,11845
2,169,65.7,49.6,2,70,9.4,101,13645
2,169,65.7,49.6,2,80,9.4,135,15645
2,177.8,66.5,53.7,4,122,8.6,84,8845
4,202.6,71.7,56.3,5,183,21.5,123,31600
4,202.6,71.7,56.5,8,234,8.3,155,34184
2,180.3,70.5,50.8,8,234,8.3,155,35056
4,208.1,71.7,56.7,8,308,8,184,40960
2,199.2,72,55.4,8,304,8,184,45400
2,178.4,68,54.8,4,140,8,175,16503
2,157.3,64.4,50.8,4,92,9.4,68,5389
2,157.3,64.4,50.8,4,92,9.4,68,6189
2,157.3,64.4,50.8,4,92,9.4,68,6669
2,157.3,63.8,50.8,4,98,7.6,102,7689
2,173,65.4,49.4,4,110,7.5,116,9959
2,173,65.4,49.4,4,122,8.5,88,8499
2,173.2,66.3,50.2,4,156,7,145,12629
2,173.2,66.3,50.2,4,156,7,145,14869
2,173.2,66.3,50.2,4,156,7,145,14489
4,172.4,65.4,51.6,4,122,8.5,88,6989
4,172.4,65.4,51.6,4,122,8.5,88,8189
4,172.4,65.4,51.6,4,110,7.5,116,9279
4,172.4,65.4,51.6,4,110,7.5,116,9279
2,165.3,63.8,54.5,4,97,9.4,69,5499
4,173.4,65.2,54.7,4,120,8.5,97,9549
4,181.7,66.5,55.1,6,181,9,152,13499
4,184.6,66.5,56.1,6,181,9,152,14399
4,184.6,66.5,55.1,6,181,9,152,13499
2,170.7,67.9,49.7,6,181,9,160,17199
2,170.7,67.9,49.7,6,181,7.8,200,19699
2,178.5,67.9,49.7,6,181,9,160,18399
4,186.7,68.4,56.7,4,120,8.4,97,11900
4,186.7,68.4,56.7,4,152,21,95,13200
4,198.9,68.4,58.7,4,120,8.4,97,12440
4,157.3,63.8,50.6,4,90,9.4,68,6229
4,167.3,63.8,50.8,4,90,9.4,68,6692
4,167.3,63.8,50.8,4,98,9.4,68,7609
4,174.6,64.6,59.8,4,122,8.5,88,8921
2,173.2,66.3,50.2,4,156,7,145,12764
2,168.9,68.3,50.2,4,151,9.5,143,22018
2,168.9,65,51.6,6,194,9.5,207,32528
2,168.9,65,51.6,6,194,9.5,207,34028
2,168.9,65,51.6,6,194,9.5,207,37028
2,175.7,72.3,50.5,8,203,10,288,31400.5
4,181.5,66.5,55.2,4,132,8.7,90,9295
2,176.8,66.6,50.5,4,132,8.7,90,9895
2,186.6,66.5,56.1,4,121,9.31,110,11850
4,186.6,66.5,56.1,4,121,9.3,110,12170
2,186.6,66.5,56.1,4,121,9.3,110,15040
4,186.6,66.5,56.1,4,121,9.3,110,15510
2,186.6,66.5,56.1,4,121,9,160,18150
4,186.6,66.5,56.1,4,121,9,160,18620
2,156.9,63.4,53.7,4,97,9,69,5118
2,157.9,63.6,53.7,4,108,8.7,73,7053
2,157.3,63.8,55.7,4,108,8.7,73,7603
4,172,65.4,52.5,4,108,9.5,82,7126
4,172,65.4,52.5,4,108,9.5,82,7775
4,172,65.4,52.5,4,108,9,94,9960
4,172,65.4,54.3,4,108,9,82,9233
4,172,65.4,54.3,4,108,7.7,111,11259
4,173.5,65.4,53,4,108,9,82,7463
4,173.5,65.4,53,4,108,9,94,10198
4,173.6,65.4,54.9,4,108,9,82,8013
4,173.6,65.4,54.9,4,108,7.7,111,11694
2,158.7,63.6,54.5,4,92,9,62,5348
2,158.7,63.6,54.5,4,92,9,62,6338
4,158.7,63.6,54.5,4,92,9,62,6488
4,169.7,63.6,59.1,4,92,9,62,6918
4,169.7,63.6,59.1,4,92,9,62,7898
4,169.7,63.6,59.1,4,92,9,62,8778
4,166.3,64.4,53,4,98,9,70,6938
4,166.3,64.4,52.8,4,98,9,70,7198
4,166.3,64.4,53,4,110,22.5,56,7898
4,166.3,64.4,52.8,4,110,22.5,56,7788
4,166.3,64.4,53,4,98,9,70,7738
4,166.3,64.4,52.8,4,98,9,70,8358
4,166.3,64.4,52.8,4,98,9,70,9258
2,168.7,64,52.6,4,98,9,70,8058
2,168.7,64,52.6,4,98,9,70,8238
2,168.7,64,52.6,4,98,9.4,112,9298
2,168.7,64,52.6,4,98,9.4,112,9538
2,176.2,65.6,52,4,146,9.3,116,8449
2,176.2,65.6,52,4,146,9.3,116,9639
2,178.2,67.9,52,5,131,7,160,17859.167
2,176.8,64.8,54.3,4,108,8.8,101,16430
4,176.8,64.8,54.3,4,108,8.8,101,16925
2,176.8,64.8,54.3,6,164,9,121,20970
4,176.8,64.8,54.3,6,164,9,121,21105
4,189,66.9,55.7,6,164,9,121,18565
4,189,66.9,55.7,6,209,8,182,25760
2,193.8,67.9,53.7,6,209,8,182,26315
4,197,70.9,56.3,6,209,8,182,28880
2,155.9,63.6,52,4,90,9.6,70,6295
4,187.8,66.5,54.1,6,171,9.2,156,15690
4,187.8,66.5,54.1,6,161,9.2,156,15750
2,171.7,65.5,55.7,4,97,23,52,7775
2,171.7,65.5,55.7,4,109,9,85,7975
4,171.7,65.5,55.7,4,97,23,52,7995
4,188.8,67.2,56.2,4,141,9.5,114,15985
4,188.8,67.2,57.5,4,141,9.5,114,16515
4,188.8,67.2,56.2,4,130,7.5,162,18420
4,188.8,67.2,57.5,4,130,7.5,162,18950
4,188.8,68.9,55.5,4,141,9.5,114,16845
4,188.8,68.8,55.5,4,141,8.7,160,19045
4,188.8,68.9,55.5,6,173,8.8,134,21485
4,188.8,68.9,55.5,6,145,23,106,22470
4,188.8,68.9,55.5,4,141,9.5,114,22625
4,183.1,66.9,55.1,4,109,9,88,12290
4,188.8,67.2,56.2,4,141,9.5,114,12940
4,188.8,67.2,57.5,4,141,9.5,114,13415
2,171.2,65.5,52.4,6,152,9,154,16500
4,176.6,66.2,54.3,4,109,10,102,13950
4,176.6,66.4,54.3,5,136,8,115,17450
2,177.3,66.3,53.1,5,136,8.5,110,15250
4,192.7,71.4,55.7,5,136,8.5,110,17710
4,192.7,71.4,55.7,5,136,8.5,110,18920
4,192.7,71.4,55.9,5,131,8.3,140,23875
2,176.2,65.6,52,4,146,9.3,116,9989
4,175.4,62.5,54.1,4,110,9,86,10295
4,175.4,65.2,54.1,4,110,9,101,12945
2,169.1,66,51,4,110,9.1,100,10345
4,170.7,61.8,53.5,4,111,8.5,78,6785
2,155.9,63.6,52,4,90,9.6,70,8916.5
4,155.9,63.6,52,4,90,9.6,70,8916.5
2,172.6,65.2,51.4,4,119,9.2,90,11048
4,199.6,69.6,52.8,6,258,8.1,176,32250
4,199.6,69.6,52.8,6,258,8.1,176,31500
4,177.8,66.5,55.5,4,122,8.6,84,8495
2,177.8,66.5,53.7,4,122,8.6,84,10595
4,177.8,66.5,55.5,4,122,8.6,84,10245
4,177.8,66.5,55.5,4,122,22.7,64,10795
4,177.8,66.5,55.5,4,122,8.6,84,11245
4,175,66.1,54.4,4,140,8,120,18280
4,175,66.1,54.4,4,134,22,72,18344
4,190.9,70.3,56.5,5,183,21.5,123,25552
4,190.9,70.3,58.7,5,183,21.5,123,24252
2,187.5,70.3,54.9,5,183,21.5,123,24176
2,165.3,63.8,54.5,4,103,21.9,55,7099
2,165.3,63.8,54.5,4,97,9.4,69,6649
4,165.3,63.8,54.5,4,97,9.4,69,6849
4,170.2,63.8,53.5,4,97,9.4,69,7349
2,165.3,63.8,54.5,4,97,9.4,69,7299
2,165.6,63.8,53.3,4,97,9.4,69,7799
4,165.3,63.8,54.5,4,97,9.4,69,7499
4,170.2,63.8,53.5,4,97,9.4,69,7999
2,162.4,63.8,53.3,4,97,9.4,69,8249
4,173.4,65.2,54.7,4,120,8.5,97,8949
4,198.9,68.4,58.7,4,152,21,95,13860
4,186.7,68.4,56.7,4,120,8.4,95,15580
4,186.7,68.4,56.7,4,152,21,95,16900
4,198.9,68.4,56.7,4,120,8.4,95,16695
4,198.9,68.4,58.7,4,152,21,95,17075
4,186.7,68.4,56.7,4,120,8.4,97,16630
4,186.7,68.4,56.7,4,152,21,95,17950
4,186.7,68.3,56,4,134,7,142,18150
2,157.3,63.8,50.8,4,90,9.4,68,5572
